FECHA,HORA,MODALIDAD,CANT_FALLECIDOS,CANT_HERIDOS,LATITUD,LONGITUD,DEPARTAMENTO,PROVINCIA,DISTRITO
2020-01-24,10:00:00,CHOQUE,0,1,-11.352,-75.66,JUNIN,TARMA,ACOBAMBA
2020-01-24,06:20:00,DESPISTE,0,0,-11.735368,-75.745695,JUNIN,YAULI,LA OROYA
2020-01-24,17:15:00,CHOQUE,0,0,-10.669315,-76.253474,PASCO,PASCO,YANACANCHA
2020-01-24,22:50:00,CHOQUE,0,0,-14.72109934,-75.08543419,ICA,NASCA,EL INGENIO
2020-01-24,14:50:00,CHOQUE,1,1,-8.787,-78.64,LA LIBERTAD,VIRU,GUADALUPITO
2020-01-24,20:30:00,CHOQUE,0,1,-14.68753513,-75.12478235,ICA,NASCA,EL INGENIO
2020-01-25,05:20:00,DESPISTE,0,0,-11.144528,-75.990444,JUNIN,JUNIN,JUNIN
2020-01-25,05:15:00,DESPISTE,0,0,-12.66437997,-76.65758519,LIMA,CAÑETE,SAN ANTONIO
2020-01-25,03:00:00,CHOQUE,0,0,-9.018835975,-78.61710277,ANCASH,SANTA,COISHCO
2020-01-25,05:00:00,CHOQUE,0,0,-13.635435,-72.896479,APURIMAC,ABANCAY,ABANCAY
2020-01-25,04:35:00,DESPISTE,0,0,-12.218833,-76.970833,LIMA,LIMA,VILLA EL SALVADOR
2020-01-25,06:00:00,CHOQUE,0,4,-11.622119,-76.220067,LIMA,HUAROCHIRI,CHICLA
2020-01-25,05:20:00,DESPISTE,6,4,-13.298583,-72.158139,CUSCO,URUBAMBA,MARAS
2020-01-25,10:30:00,CHOQUE,0,1,-11.794472,-76.982278,LIMA,LIMA,CARABAYLLO
2020-01-25,21:00:00,CHOQUE,0,1,-7.998,-78.432,LA LIBERTAD,OTUZCO,AGALLPAMPA
2020-01-26,15:00:00,CHOQUE,0,1,-11.94374945,-76.70863004,LIMA,LIMA,LURIGANCHO
2020-01-26,04:30:00,DESPISTE,0,0,-9.90419193,-77.39155212,ANCASH,RECUAY,CATAC
2020-01-26,07:30:00,CHOQUE,0,0,-16.58317897,-71.84178921,AREQUIPA,AREQUIPA,LA JOYA
2020-01-26,14:40:00,CHOQUE,0,2,-11.56977,-75.87138,JUNIN,YAULI,LA OROYA
2020-01-26,13:15:00,DESPISTE,0,1,-9.349785961,-78.39456678,ANCASH,CASMA,CASMA
2020-01-26,05:45:00,CHOQUE,0,1,-11.514528,-75.930111,JUNIN,YAULI,SANTA ROSA DE SACCO
2020-01-27,12:15:00,DESPISTE,0,0,-11.683804,-76.25918,LIMA,HUAROCHIRI,CHICLA
2020-01-27,07:30:00,DESPISTE,0,0,-16.967058,-72.057666,AREQUIPA,ISLAY,ISLAY
2020-01-27,12:15:00,DESPISTE,0,0,-13.958615,-73.153448,APURIMAC,AYMARAES,TINTAY
2020-01-27,14:47:00,DESPISTE,0,0,-11.201,-75.958,JUNIN,JUNIN,JUNIN
2020-01-27,17:40:00,DESPISTE,0,0,-16.42818092,-73.10496336,AREQUIPA,CAMANA,OCOÑA
2020-01-27,19:40:00,CHOQUE,0,0,-10.85201904,-77.69241828,LIMA,BARRANCA,SUPE
2020-01-27,03:35:00,CHOQUE,0,1,-11.74751288,-76.29133849,LIMA,HUAROCHIRI,SAN MATEO
2020-01-27,03:10:00,CHOQUE,0,1,-11.647,-76.234528,LIMA,HUAROCHIRI,CHICLA
2020-01-27,14:25:00,CHOQUE,0,1,-16.082,-69.649,PUNO,EL COLLAO,ILAVE
2020-01-27,19:00:00,DESPISTE,1,1,-9.732,-78.258,ANCASH,CASMA,CASMA
2020-01-28,04:00:00,DESPISTE,0,0,-11.82509235,-75.49359241,JUNIN,JAUJA,HUARIPAMPA
2020-01-28,06:00:00,DESPISTE,0,0,-11.34058386,-77.46341184,LIMA,HUAURA,HUACHO
2020-01-28,06:30:00,DESPISTE,0,0,-16.545888,-72.592619,AREQUIPA,CAMANA,SAMUEL PASTOR
2020-01-28,06:00:00,DESPISTE,0,0,-11.6089947,-75.9776887,JUNIN,YAULI,SANTA ROSA DE SACCO
2020-01-28,07:10:00,CHOQUE,0,1,-12.731955,-76.615426,LIMA,CAÑETE,ASIA
2020-01-28,07:00:00,CHOQUE,0,2,-12.206,-76.975,LIMA,LIMA,CHORRILLOS
